order_date_col,order categorical feature 1,order categorical feature 2,order categorical feature 3,join_col
1992-02-17,order categorical feature 1 #7,order categorical feature 2 #7023,order categorical feature 3 #148,7227
1992-02-17,order categorical feature 1 #7,order categorical feature 2 #7023,order categorical feature 3 #54,8616
1992-02-17,order categorical feature 1 #2,order categorical feature 2 #6713,order categorical feature 3 #112,7863
1992-02-17,order categorical feature 1 #7,order categorical feature 2 #8923,order categorical feature 3 #496,7827
1992-02-17,order categorical feature 1 #2,order categorical feature 2 #8923,order categorical feature 3 #137,8707
1992-02-17,order categorical feature 1 #7,order categorical feature 2 #8881,order categorical feature 3 #303,2862
1992-02-17,order categorical feature 1 #7,order categorical feature 2 #8881,order categorical feature 3 #32,4375
1992-02-17,order categorical feature 1 #7,order categorical feature 2 #8881,order categorical feature 3 #191,8262
1992-02-17,order categorical feature 1 #2,order categorical feature 2 #332,order categorical feature 3 #181,3261
1992-02-17,order categorical feature 1 #2,order categorical feature 2 #332,order categorical feature 3 #489,9675
1992-02-17,order categorical feature 1 #2,order categorical feature 2 #3187,order categorical feature 3 #21,9611
1992-02-17,order categorical feature 1 #2,order categorical feature 2 #3797,order categorical feature 3 #130,6736
1992-02-17,order categorical feature 1 #7,order categorical feature 2 #2587,order categorical feature 3 #51,8851
1992-02-17,order categorical feature 1 #7,order categorical feature 2 #4670,order categorical feature 3 #392,9388
1992-02-17,order categorical feature 1 #7,order categorical feature 2 #5434,order categorical feature 3 #489,9674
1992-02-17,order categorical feature 1 #7,order categorical feature 2 #6087,order categorical feature 3 #137,8712
1992-02-17,order categorical feature 1 #7,order categorical feature 2 #3901,order categorical feature 3 #235,5789
